id	블록	소요초	판정	메모
1	A1	223.5	아니오 / 없음	
2	A1	26.8	아니오 / 없음	
3	A1	143.0	아니오 / 현재 컨텍스트 제공 범위 내에서 판단 불가	
4	A1	159.9	인증 가드 / 현재 문맥에서는 근거 없음	외부 연계 시스템 DWP 인증서버로 토큰 유효성 확인하는 로직으로 기억한다고 부기
5	D	37.3	아니오 / 주석이라 동작하는 코드가 아님	
6	D	23.5	아니오 / 주석이라 동작하는 코드가 아님	
7	D	42.4	아니오 / 인가 관련 코드 아님 + 주석이라 동작하는 코드가 아님	
8	D	28.5	아니오 / 인가 관련 코드 아님 + 주석이라 동작하는 코드가 아님	
9	D	33.1	아니오 / 인가 관련 코드이지만 주석이라 동작하는 코드가 아님	
10	D	14.6	아니오 / 인가 관련 코드이지만 주석이라 동작하는 코드가 아님	
11	D	8.3	아니오 / 인가 관련 코드이지만 주석이라 동작하는 코드가 아님	
12	D	49.7	아니오 / 인가 관련 코드 아님	
B1	B1	255.9	1 아니오(인가 코드지만 주석) · 2 아니오 · 3 아니오 · 4 아니오 · 5 아니오 · 6 아니오(인가 관련 코드지만 주석) · 7 아니오 · 8 예(근거 좌표 문맥 내 없음, AOP 에서 동작)	열어 본 건수 미기재 — 답 직후 별도로 물음
—	—	—	—	B1 — 열어 본 건수 8/8. 다만 '열어 본 건수' 문구를 판정자가 '저장소를 열어 원본을 확인하라'로 읽어 되물음이 발생했다(측정 밖·시계 정지 후). 문구의 결함이며 B2 에서도 같은 문구를 유지한다
B2	B2	687.9	1 아니오(VO 검사 유틸) · 2 아니오(VO 검사 유틸) · 3 아니오(DB 마이그레이션 설정 유틸) · 4 예(인가에 쓰이는 데이터의 유효성 검사, 실패 시 접근 실패) · 5 예(제공된 문맥에 근거 없음) · 6 예(자기 자신이 근거) · 7 예(자기 자신이 근거) · 8 아니오(역할 도메인 모델 유효성 검사)	열어 본 건수 8/8. 제시 중 에이전트 오기로 7번 파일 좌표·8번 코드 일부를 정정 재제시했고 되짚기 1회 발생 — 그 시간은 이 블록에 포함된 채로 둔다
29	C	27.5	아니오 / 없음	
30	C	12.9	아니오 / 없음	
31	C	14.7	아니오 / 없음	
32	C	6.4	예 / 스코프 유효성 검증이라 인가 관련 코드	
33	C	7.6	아니오 / 없음	
34	C	7.4	아니오 / 없음	
—	—	—	—	C 자기보고 — '아무 효과 못 느낌. 왜 그렇게 했는지 모르겠음'. 진척 표시의 의도가 판정자에게 전달되지 않았다
35	A2	8.7	아니오 / 주석	
36	A2	7.8	아니오 / 없음	
37	A2	8.1	아니오 / 인증 가드	
38	A2	7.6	아니오 / 인증 가드	
E1	E	9.1	아니오 / 없음	1건의 재제시 — 초회 223.5초, 판정 동일
E2	E	8.9	아니오 / 없음	2건의 재제시 — 초회 26.8초, 판정 동일
F1	F	9.7	아니오 / 없음	B1 3번째의 검산 — 묶음 판정은 '아니오'. 일치, 뒤집히지 않음
F2	F	8.5	아니오 / 없음	B2 3번째의 검산 — 묶음 판정은 '아니오'. 일치, 뒤집히지 않음
