결박id	대상심볼	대상파일	옛반경	새반경	호출자수	감시전	감시후	타파일새원소	기준시점커밋	대상digest차이	base에없던새원소	판정	근거
1cc70cc19ef92186	89c2aab3184831be1555d51244ca187228f2b7b30e030c02f48487ef8998103a	crates/pal-core/src/envelope.rs	symbol	symbol	17	1	1	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	0	아니다	낱말 「생략」을 elision 에 주고 fold 에는 「이관」을 준다는 표기 배정이고, 세 자리의 이름은 부르는 쪽과 무관하게 정해진다
1cf63ec5e0e9937a	6b4389c2b18699084cbc6b2d3ff11b686bab5e15377049d54f858d7c704b7e4d	crates/pal-extract/src/rust.rs	symbol	callers	1	1	2	0	e9402bc63ab875ab933e7668098ce54240b80124	거짓	0	영향받는다	ExportSet 이 담을 모집단을 ledger 의 stitch_of 가 최상위만 EXPORTS 로 옮기는 것에 맞춘 결정이라, 그 소비 쪽이 바뀌면 export_digest 와 EXPORTS 가 다른 모집단을 잰다
389ce29274d77a47	b3429f4be3367c44c6ddfdddccc230e50c28a8612af8aef2ffb1b34e1ca5bfaf	crates/pal-core/src/catalog.rs	symbol	callers	0	1	1	0	9f0bf704464bec4920e3e226953c32640387623c	거짓	0	영향받는다	로드맵 26 을 다 적는 길과 파일을 코드에서 생성하는 길을 기각한 결정이라, 이 값을 읽는 대조가 파일을 생성하는 쪽으로 바뀌면 양방향 검사가 항등식이 된다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
39b92bd51bbc82c6	80cd88b02cc206949e89eb9a0cf7094a02cfb2e20173468f9c4c6ae37f118917	crates/pal-core/src/scope.rs	symbol	symbol	0	1	1	0	e9402bc63ab875ab933e7668098ce54240b80124	거짓	0	아니다	보이는 것 중 가장 뒤를 고르고 「가장 앞선 것」 팔은 TDZ 전용으로 남긴다는 이 함수 본문의 해소 규칙 선택이다
3d9979946eb321de	6f71aabf4b8aa59a0a496a310e8c31f720be605be26e2a16b8682d7de2147b1f	crates/pal-core/src/repo.rs	symbol	callers	77	1	78	73	9f0bf704464bec4920e3e226953c32640387623c	거짓	3	영향받는다	카탈로그의 인자 타입이 어댑터가 내는 스키마와 같은지 아무도 안 댄다는 미포착 범위를 적은 결정이라, 이 타입을 인자로 쓰는 바깥 표면이 늘거나 바뀌면 그 공백을 다시 재야 한다
4065e80475cf1c72	bd26d1d8a3ee02466afc38a29580d36ab3f2593ac840d2260c9a6b2e37272c38	xtask/src/main.rs	symbol	symbol	1	1	1	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	0	아니다	활용형·낱말 경계·기계 표식 예외로 패턴을 짜고 검사 자신을 대상 밖에 둔다는 이 검사 내부의 수단 설계다
45d8808585ee0d50	c6c07834dbf6e7ea5648280b5541b3a84aa0ec538d3ecfe77ec74ed5beb6c64a	crates/pal-cli/src/label.rs	symbol	callers	10	1	11	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	2	영향받는다	병기를 조각 둘로 내고 고정폭 열에는 원 표기만 넣고 병기는 열 뒤에 붙이라는, 부르는 쪽의 조립 방식을 정하는 규칙이다
4841643fa986aecb	15c1395c39a78013c7303fd25274f6e0c9a062beebb17bcd4a6ed761bc7fc69c	crates/pal-core/src/binding.rs	symbol	symbol	18	1	1	0	daf15debf4399f482d42c92e693646371ace64b6	거짓	0	아니다	넷 중 Live 만 Fresh 로 바꾸고 Current 는 안 쓴다는 변형 이름 선택이라 부르는 쪽이 바뀌어도 그 낱말 판단은 그대로다
49714573e0fa654c	55373aa24b6c4a2013233431a9238ef785e0094fb505324b25d0b3b82a0f86a7	xtask/src/main.rs	symbol	symbol	1	1	1	0	5e673e7aeae4c596c1361ac8986c8f003cd464d4	참	0	아니다	검사 대상을 사전순 최대 하나가 아니라 선언 하한 이후 끝난 회차 전부로 잡는다는 이 선택자 자신의 모집단 규칙이다
5b9331b398e8ff23	7de16c48b5a51d40aeffa5766a516ef7cdb0c6ad1221640207c6e3c2e06b23e1	crates/pal-store/src/projection.rs	symbol	callers	0	1	1	0	d53d67b247e53b5ea545ce57a4c3c1647c38fc98	거짓	0	영향받는다	형식 판 불일치를 오류가 아니라 값으로 내서 부르는 쪽이 「낡음」으로 산출하게 하고 관문을 open_read_only 하나로 못 박은 결정이다 ⟨호출자 0 — 넓혀도 감시가 안 커진다. 멤버 호출(x.foo())을 장치가 못 보는 것이고 pal touch 가 그 문장을 스스로 찍는다. 근거가 안 선 것이 아니다⟩
