코퍼스	개체	문서	앵커	걸린신호	심볼	종류	코드경로	문서첫줄	판정	근거
ditto	01M022Z26067HT7V5KCBPWJM8J	HANDOFF.md	design-decisions-from-a-full-deep-interview-incl-intent-dissent-user-confirmed	span	intentDriftGate	function	src/core/gates.ts	Design decisions (from a full deep-interview incl. intent-dissent; user-confirmed)	거짓	여러 설계 결정의 목록이고 그 게이트는 항목 하나다
ditto	01M022Z2H2TGMNN11JDZWSS844	agents/dialectic-producer.md	you-receive	span	input	function	src/hooks/runtime.characterization.test.ts	You receive	거짓	문서의 `input` 은 dialectic 스키마의 입력 — 좌표는 **테스트 파일의 지역 심볼**
ditto	01M022Z2NDSK8NT5JCZQ43HR8Z	agents/memory-extractor.md	you-receive-one-chunk	span	ExtractionChunkRequest	interface	src/core/memory-build.ts	You receive (one chunk)	참	조각이 그 타입의 계약을 적고 경로까지 명시했다
ditto	01M022Z333R4SV87ABGXWKVFBJ	docs/features/acg-review.md	서브커맨드cli-인자	span	aggregateUnitReview	function	src/acg/review/unit-review.ts	서브커맨드·CLI 인자 (`ditto acg-review`)	거짓	조각은 CLI 인자 표 — 그 함수는 표 밖의 한 언급이다
ditto	01M022Z382S6HZ251KV6E6TKZ2	docs/features/autopilot.md	1-이-기능이-실현하려는-설계-의도-개념	span	autopilot	variable	src/schemas/autopilot.ts	1. 이 기능이 실현하려는 설계 의도 (개념)	참	조각의 주제가 `autopilot` 자체이고 좌표가 그 스키마다
ditto	01M022Z3E9NRMCPN6Q6YY5VQVY	docs/features/bridge.md	c-정규화-후-해시-드리프트-오탐-방지	span	normalizeInstructionText	function	src/core/instruction-bridge.ts	(c) 정규화 후 해시 (드리프트 오탐 방지)	참	조각 전체가 그 함수가 하는 일이다
ditto	01M022Z3SVTDA82XARJ19BSDPQ	docs/features/codeql.md	doctorts-fail-closed-판정-순수	span	doctorBlocks	function	src/core/codeql/review-to-ledger.ts	doctor.ts — fail-closed 판정 (순수)	거짓	조각의 주제는 `doctor.ts` 의 판정 — 좌표는 `review-to-ledger.ts` 이고 마지막 한 줄이다
ditto	01M022Z3WYR3QHZ6EYPN9ZQ3D3	docs/features/coverage.md	4-2-카테고리-완전-종료-정당화-close-false-green-차단	span	farFieldCoverageNodes	function	src/core/coverage-taxonomy.ts	4-2. 카테고리-완전 종료 + 정당화-close (false-green 차단)	참	조각이 그 함수의 시딩 동작을 적는다
ditto	01M022Z42GEZAE5AYS9JQZK0MZ	docs/features/deep-interview.md	상태-파일	span	interviewState	variable	src/schemas/interview-state.ts	상태 파일	참	첫 문단이 그 스키마의 계약이고 좌표까지 적었다
ditto	01M022Z4924CA4KQFXFQC7C735	docs/features/doctor.md	6-설계-의도-실제-동작-일치-여부	span	resolvePluginRoot	function	src/core/plugin-root.ts	6. 설계 의도 ↔ 실제 동작 일치 여부	거짓	조각은 `doctor` 전반의 일치 여부 — 그 함수는 예 하나다
