id	round	commit	제목요약	축1_유효	축2_대상	축3_산출	축4_부호	축5_진자	축6_깨짐	근거인용
R1-B	1	a308602	반증: docs/adr/README.md 가 없었다	참	회차기록	장치	개선	아님	금지역	완수 조건에 등록하고 체크까지 했는데 파일을 안 만들었다
R1-01	1	a308602	참조 정의형 링크 8건 미탐지	참	자기장치	장치	개선	연쇄	금지역	앞 판은 ']' + '(' 만 찾아 정의형을 통째로 안 셌다
R1-02	1	a308602	surface/queries.toml 이 모집단 밖	참	자기장치	장치	개선	연쇄	금지역	구현이 .md·.rs 만 모아 surface/queries.toml 이 안 훑렸다
R1-03	1	a308602	살아있지만 틀린 링크 109건	참	저장소	산문	개선	연쇄	거짓신호	대상에 그 절이 없다 … 구조적으로 못 잡는다
R1-04	1	a308602	00-goals.md 자기참조 링크 둘	참	저장소	삭제	개선	아님	거짓신호	자기 자신을 가리키는 링크 둘을 갖고 있었다 — 걷었다
R1-05	1	a308602	plan/README §2·§3·§8 낡음	참	저장소	삭제	개선	연쇄	거짓신호	§2·§3·§8 이 지금 거짓인 채로 남아 있었다
R1-06	1	a308602	AGENTS.md 「결정 94」	참	규약	산문	개선	아님	거짓신호	결정 94(→99)가 AGENTS.md·README·disposal-map 소제목에
R1-07	1	a308602	plan/README 「결정 94」	참	저장소	산문	개선	아님	거짓신호	결정 94(→99)가 AGENTS.md·README·disposal-map 소제목에
R1-08	1	a308602	disposal-map 소제목 「결정 94」	참	원의도	산문	개선	아님	거짓신호	결정 94(→99)가 AGENTS.md·README·disposal-map 소제목에
R1-09	1	a308602	게이트 합격선 ④ 94·25	참	회차기록	산문	개선	아님	거짓신호	게이트 합격선 ④ 가 94·25(→99·26)
R1-10	1	a308602	게이트 :72 문서119·링크336	참	회차기록	산문	개선	연쇄	거짓신호	게이트 :72 가 문서 119 · 링크 336(→실측)
R1-11	1	a308602	disposal-map:57 (12)→13	참	원의도	산문	개선	연쇄	거짓신호	disposal-map:57 이 (12)(→13)
R1-12	1	a308602	이슈 판정표가 13행뿐	참	회차기록	산문	개선	아님	거짓신호	판정표 행 수 = 22 였는데 13 행뿐이었고
R1-13	1	a308602	효과 전문이 /tmp 라 모집단 밖	참	회차기록	산문	개선	연쇄	금지역	/tmp 는 … 검사 모집단 밖이라 낡음이 표시되지 않는다
